dsstox_sid,very_toxic,nontoxic,LD50_mgkg,EPA_category,GHS_category,casrn,mol_weight,LD50_LM
DTXSID5020281,False,False,460.0,2.0,4.0,100-00-5,157.550003052,-0.465339415759
DTXSID8020961,False,False,750.0,3.0,4.0,100-01-6,138.12600708,-0.734785805899
DTXSID0021834,False,False,170.0,2.0,3.0,100-02-7,139.11000061,-0.0870905688573
DTXSID2044347,False,False,1720.0,3.0,4.0,100-06-1,150.177001953,-1.05892501683
DTXSID4025745,False,False,1809.0,3.0,4.0,100-14-1,171.580001831,-1.02297189873
DTXSID9059208,False,True,2300.0,3.0,5.0,100-17-4,153.136993408,-1.17664771983
DTXSID7026653,False,True,2500.0,3.0,5.0,100-20-9,203.020004272,-1.09040117609
DTXSID6026080,False,False,1960.0,3.0,4.0,100-21-0,166.132003784,-1.07180276806
DTXSID80870440,False,False,1600.0,3.0,4.0,100-28-7,164.119995117,-0.988958487282
DTXSID7026655,False,True,3300.0,3.0,5.0,100-29-8,167.164001465,-1.29537118142
DTXSID8043868,True,False,17.0,1.0,2.0,100-35-6,135.63999939,0.901938857774
DTXSID7057606,False,True,2830.0,3.0,5.0,100-36-7,116.208000183,-1.38655040802
DTXSID5021837,False,False,1300.0,3.0,4.0,100-37-8,117.192001343,-1.04504538134
DTXSID3021437,False,False,1600.0,3.0,4.0,100-40-3,108.183998108,-1.16995695523
DTXSID3020596,False,True,3500.0,3.0,5.0,100-41-4,106.167999268,-1.51807441118
DTXSID2021284,False,False,1000.0,3.0,4.0,100-42-5,104.152000427,-0.982332384226
DTXSID0051499,False,False,100.0,2.0,3.0,100-43-6,105.13999939,0.0217679701613
DTXSID0020153,False,False,440.0,2.0,4.0,100-44-7,126.580001831,-0.541087578865
DTXSID7021491,False,False,700.0,3.0,4.0,100-47-0,103.124000549,-0.831738287504
DTXSID5020152,False,False,1230.0,3.0,4.0,100-51-6,108.13999939,-1.05591874865
DTXSID8039241,False,False,1300.0,3.0,4.0,100-52-7,106.124000549,-1.08812973912
DTXSID6026664,False,False,493.0,2.0,4.0,100-53-8,124.199996948,-0.598725334108
DTXSID1026665,False,False,1185.0,3.0,4.0,100-54-9,104.111999512,-1.05621756299
DTXSID3059216,False,False,400.0,2.0,4.0,100-60-7,113.204,-0.548198218652
DTXSID9021841,False,False,716.0,3.0,4.0,100-61-8,107.15599823,-0.824896535915
DTXSID8021147,False,False,188.0,2.0,3.0,100-63-0,108.143997192,-0.240155431439
DTXSID3025889,False,False,100.0,2.0,3.0,100-65-2,109.127998352,0.0379361893584
DTXSID4041608,False,True,3700.0,3.0,5.0,100-66-3,108.13999939,-1.53421536128
