INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	CASRN	SMILES
Acetamide	Approved Name	DTXSID7020005	Acetamide	60-35-5	CC(N)=O
Acetaminophen	Approved Name	DTXSID2020006	Acetaminophen	103-90-2	CC(=O)NC1=CC=C(O)C=C1
Dehydroacetic acid	Approved Name	DTXSID6020014	Dehydroacetic acid	520-45-6	CC(=O)C1C(=O)OC(C)=CC1=O
Acifluorfen	Expert Validated Synonym	DTXSID0020022	5-(2-Chloro-4-(trifluoromethyl)phenoxy)-2-nitrobenzoic acid	50594-66-6	OC(=O)C1=C(C=CC(OC2=CC=C(C=C2Cl)C(F)(F)F)=C1)[N+]([O-])=O
Acrylamide	Approved Name	DTXSID5020027	Acrylamide	79-06-1	NC(=O)C=C
Acrylonitrile	Approved Name	DTXSID5020029	Acrylonitrile	107-13-1	C=CC#N
Aldrin	Approved Name	DTXSID8020040	Aldrin	309-00-2	ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H]4C[C@@H](C=C4)[C@@H]3[C@@]1(Cl)C2(Cl)Cl
Allantoin	Approved Name	DTXSID3020043	Allantoin	97-59-6	NC(=O)NC1NC(=O)NC1=O
Allyl alcohol	Approved Name	DTXSID8020044	Allyl alcohol	107-18-6	OCC=C
Allyl isothiocyanate	Approved Name	DTXSID3020047	Allyl isothiocyanate	57-06-7	C=CCN=C=S
2-Aminoanthraquinone	Approved Name	DTXSID6020068	2-Aminoanthraquinone	117-79-3	NC1=CC=C2C(=O)C3=C(C=CC=C3)C(=O)C2=C1
2-Amino-5-azotoluene	Expert Validated Synonym	DTXSID1020069	o-Aminoazotoluene	97-56-3	CC1=C(N)C=CC(=C1)N=NC1=C(C)C=CC=C1
Amitrole	Approved Name	DTXSID0020076	Amitrole	61-82-5	NC1=NNC=N1
(E)-Anethole	Approved Name	DTXSID9020087	(E)-Anethole	4180-23-8	COC1=CC=C(\C=C\C)C=C1
Anilazine	Approved Name	DTXSID9020089	Anilazine	101-05-3	ClC1=CC=CC=C1NC1=NC(Cl)=NC(Cl)=N1
Aniline hydrochloride	Approved Name	DTXSID3020091	Aniline hydrochloride	142-04-1	Cl.NC1=CC=CC=C1
4-Methoxyaniline hydrochloride	Expert Validated Synonym	DTXSID3020093	p-Anisidinium chloride	20265-97-8	Cl.COC1=CC=C(N)C=C1
Sodium L-ascorbate	Approved Name	DTXSID0020105	Sodium L-ascorbate	134-03-2	[Na+].OC[C@H](O)[C@H]1OC(=O)C(O)=C1[O-]
L-Ascorbic acid	Approved Name	DTXSID5020106	L-Ascorbic acid	50-81-7	[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO
Aspartame	Approved Name	DTXSID0020107	Aspartame	22839-47-0	COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O
Aspirin	Approved Name	DTXSID5020108	Aspirin	50-78-2	CC(=O)OC1=C(C=CC=C1)C(O)=O
Atrazine	Approved Name	DTXSID9020112	Atrazine	1912-24-9	CCNC1=NC(NC(C)C)=NC(Cl)=N1
Auramine hydrochloride	Approved Name	DTXSID9020114	Auramine hydrochloride	2465-27-2	Cl.CN(C)C1=CC=C(C=C1)C(=N)C1=CC=C(C=C1)N(C)C
Azathioprine	Approved Name	DTXSID4020119	Azathioprine	446-86-6	CN1C=NC(=C1SC1=NC=NC2=C1NC=N2)[N+]([O-])=O
Sodium azide	Approved Name	DTXSID8020121	Sodium azide	26628-22-8	[Na+].[N-]=[N+]=[N-]
Azinphos-methyl	Approved Name	DTXSID3020122	Azinphos-methyl	86-50-0	COP(=S)(OC)SCN1N=NC2=C(C=CC=C2)C1=O
Azobenzene	Approved Name	DTXSID8020123	Azobenzene	103-33-3	C1=CC=C(C=C1)N=NC1=CC=CC=C1
