INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	DTXCID	CASRN	QSAR_READY_SMILES
60-35-5	CAS-RN	DTXSID7020005	Acetamide	DTXCID505	60-35-5	CC(N)=O
103-90-2	CAS-RN	DTXSID2020006	Acetaminophen	DTXCID606	103-90-2	CC(=O)NC1=CC=C(O)C=C1
520-45-6	CAS-RN	DTXSID6020014	Dehydroacetic acid	DTXCID9014	520-45-6	CC(=O)C1C(=O)OC(C)=CC1=O
50594-66-6	CAS-RN	DTXSID0020022	5-(2-Chloro-4-(trifluoromethyl)phenoxy)-2-nitrobenzoic acid	DTXCID6022	50594-66-6	OC(=O)C1=C(C=CC(OC2=CC=C(C=C2Cl)C(F)(F)F)=C1)[N+]([O-])=O
79-06-1	CAS-RN	DTXSID5020027	Acrylamide	DTXCID6027	79-06-1	NC(=O)C=C
107-13-1	CAS-RN	DTXSID5020029	Acrylonitrile	DTXCID0029	107-13-1	C=CC#N
309-00-2	CAS-RN	DTXSID8020040	Aldrin	DTXCID10819882	309-00-2	ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl
97-59-6	CAS-RN	DTXSID3020043	Allantoin	DTXCID0043	97-59-6	NC(=O)NC1NC(=O)NC1=O
107-18-6	CAS-RN	DTXSID8020044	Allyl alcohol	DTXCID2044	107-18-6	OCC=C
57-06-7	CAS-RN	DTXSID3020047	Allyl isothiocyanate	DTXCID8047	57-06-7	C=CCN=C=S
117-79-3	CAS-RN	DTXSID6020068	2-Aminoanthraquinone	DTXCID2068	117-79-3	NC1=CC=C2C(=O)C3=C(C=CC=C3)C(=O)C2=C1
97-56-3	CAS-RN	DTXSID1020069	o-Aminoazotoluene	DTXCID4069	97-56-3	CC1=C(N)C=CC(=C1)N=NC1=C(C)C=CC=C1
61-82-5	CAS-RN	DTXSID0020076	Amitrole	DTXCID9076	61-82-5	NC1=NNC=N1
4180-23-8	CAS-RN	DTXSID9020087	(E)-Anethole	DTXCID2087	4180-23-8	COC1=CC=C(C=CC)C=C1
